layoff_bucket,ko_loss_with_next_fight_count,unique_fighters,won_next_fight_rate,lost_next_by_ko_tko_rate,avg_days_to_next_fight,avg_fighter_age
0-120,260,240,0.5,0.2,93.96538461538462,30.984495431955484
121-180,522,430,0.5,0.20114942528735633,150.81226053639847,30.867977980914326
181-270,577,475,0.42287694974003465,0.24956672443674177,217.00693240901214,31.247615708776618
271-365,259,236,0.4594594594594595,0.1891891891891892,310.5289575289575,31.251144750595586
366-540,189,173,0.38095238095238093,0.25925925925925924,438.33862433862436,31.63526876083126
541+,141,134,0.3404255319148936,0.2624113475177305,930.1985815602837,30.446555281442194
