market_key,is_synthetic,p_bucket,n,mean_implied_p,realized_win_rate,calibration_error,brier,log_loss,flat_bet_roi
inside_distance,True,80-85%,428.0,0.8239741033357875,0.6074766355140186,-0.21649746782176882,0.2850855787753067,0.7993811797899457,-0.26285612902898225
inside_distance,True,85-90%,356.0,0.8744892408552345,0.6657303370786517,-0.2087589037765828,0.26514543314499117,0.7800132343333981,-0.23928968766836461
inside_distance,True,90-95%,250.0,0.9248352998538074,0.692,-0.23283529985380746,0.26650271438659034,0.8489925501471626,-0.2521951833145388
inside_distance,True,95-100%,369.0,0.9856764630842073,0.7642276422764228,-0.2214488208077845,0.22945079640461385,1.9124588866427306,-0.224462740650491
moneyline,False,05-10%,11.0,0.08647872128157484,0.0,-0.08647872128157484,0.007525611947029551,0.09047672110855408,-1.0
moneyline,False,10-15%,148.0,0.12921017677287713,0.08108108108108109,-0.04812909569179605,0.07754380995798274,0.2956551549626524,-0.35439189189189185
moneyline,False,15-20%,355.0,0.1773986072114213,0.1295774647887324,-0.04782114242268892,0.11516220882831088,0.3942494091345888,-0.2665352112676056
moneyline,False,20-25%,570.0,0.22445717270504179,0.1649122807017544,-0.059544892003287386,0.14182141044904853,0.4601535930164264,-0.258859649122807
moneyline,False,25-30%,886.0,0.27575143673056596,0.24943566591422123,-0.02631577081634473,0.1870364357516649,0.5612356498033301,-0.10016930022573364
moneyline,False,30-35%,901.0,0.32674918862872054,0.3074361820199778,-0.019313006608742744,0.2126995573444308,0.6165121748375141,-0.06128745837957825
moneyline,False,35-40%,1101.0,0.37223517968670744,0.3578564940962761,-0.014378685590431317,0.22951734159203122,0.6515748702969616,-0.03980926430517711
moneyline,False,40-45%,1206.0,0.4226704339952213,0.43532338308457713,0.012652949089355825,0.24596282421662913,0.6850586396717375,0.03053067993366501
moneyline,False,45-50%,839.0,0.4711531840451476,0.45292014302741357,-0.018233041017734042,0.24762039183201964,0.6883805671775007,-0.03945172824791418
moneyline,False,50-55%,1017.0,0.5235441070596925,0.49852507374631266,-0.02501903331337979,0.25127944820843784,0.6957134618869694,-0.04619008609265406
moneyline,False,55-60%,1011.0,0.5745072024612028,0.5489614243323442,-0.02554577812885861,0.2481868286520762,0.6895379293577284,-0.04433073624526641
moneyline,False,60-65%,1290.0,0.6218964059083871,0.5782945736434109,-0.04360183226497627,0.24574177927230362,0.6847778919443094,-0.06986918242467888
moneyline,False,65-70%,1021.0,0.6758501531728328,0.6679725759059746,-0.007877577266858227,0.2214824054882062,0.6349169279327849,-0.011831380981082046
moneyline,False,70-75%,928.0,0.7220186701956651,0.7004310344827587,-0.02158763571290645,0.20979882423456614,0.6104244253493519,-0.030201103224486166
moneyline,False,75-80%,753.0,0.7707618235420852,0.7822045152722443,0.011442691730159105,0.16992833463515847,0.5228442061766359,0.014538029183678369
moneyline,False,80-85%,561.0,0.8213737802140608,0.8360071301247772,0.014633349910716409,0.1369177004790327,0.44553251819177303,0.017695472565250014
moneyline,False,85-90%,263.0,0.8711038644411001,0.8821292775665399,0.011025413125439809,0.10434431945118866,0.3643876748867266,0.012929582621764255
moneyline,False,90-95%,118.0,0.9154706603711942,0.923728813559322,0.008258153188127837,0.07013043825886332,0.267151420170689,0.008895239321296754
moneyline,False,95-100%,3.0,0.9544827153522806,1.0,0.045517284647719425,0.0020746828556221426,0.046587314125052896,0.047691197691197694
win_by_decision,False,00-05%,31.0,0.04287744374224649,0.06451612903225806,0.021638685290011575,0.06076840827352409,0.24325894142606325,0.4838709677419355
win_by_decision,False,05-10%,565.0,0.07863512581504463,0.05132743362831858,-0.027307692186726046,0.049168162347596675,0.20594325854688017,-0.36761061946902657
win_by_decision,False,10-15%,1458.0,0.12568646489710442,0.11385459533607682,-0.011831869561027594,0.10079929851481123,0.35404864256693047,-0.09538408779149521
win_by_decision,False,15-20%,1746.0,0.17215485900388078,0.14891179839633448,-0.0232430606075463,0.12697542003636134,0.42166476466623026,-0.13790950744558994
win_by_decision,False,20-25%,1741.0,0.22075959708525028,0.20390580126364158,-0.016853795821608702,0.16212197070503057,0.5051706406943575,-0.07955198161975875
win_by_decision,False,25-30%,1783.0,0.2724238198023149,0.2725743129556927,0.00015049315337778424,0.1983216392165902,0.5858979903150104,0.0024565339315759955
win_by_decision,False,30-35%,1191.0,0.3225089903198442,0.29303106633081444,-0.029477923989029764,0.20730316613075025,0.6051855266793194,-0.09412258606213265
win_by_decision,False,35-40%,1009.0,0.3697145278598499,0.3141724479682854,-0.055542079891564455,0.21890256649392548,0.6298982805724872,-0.14863230921704657
win_by_decision,False,40-45%,763.0,0.41903857935067457,0.40235910878112713,-0.01667947056954744,0.24015098305657692,0.6733084197745123,-0.0408256880733945
win_by_decision,False,45-50%,395.0,0.46842527295202635,0.4177215189873418,-0.05070375396468457,0.24555842468172617,0.684248090243023,-0.10853164556962025
win_by_decision,False,50-55%,363.0,0.5196584669020808,0.4738292011019284,-0.04582926580015245,0.2511170491328634,0.695385506311891,-0.08836288979817711
win_by_decision,False,55-60%,153.0,0.5700515194764235,0.5686274509803921,-0.0014240684960313832,0.2453456136453794,0.6838034640515664,-0.002153221167493239
win_by_decision,False,60-65%,85.0,0.6187460187081516,0.6235294117647059,0.004783393056554286,0.23440851157700832,0.6616618673870853,0.007467904851189842
win_by_decision,False,65-70%,14.0,0.6690871389801227,0.7142857142857143,0.04519857530559157,0.20239945706061108,0.5945293546730903,0.06355945641659927
win_by_decision,False,70-75%,1.0,0.7468354430379747,1.0,0.25316455696202533,0.06409229290177856,0.29191040856130207,0.33898305084745767
win_by_decision,False,75-80%,1.0,0.7647058823529411,1.0,0.23529411764705888,0.05536332179930798,0.2682639865946794,0.3076923076923077
win_by_decision,False,80-85%,1.0,0.8148148148148148,0.0,-0.8148148148148148,0.6639231824417009,1.6863989535702284,-1.0
win_by_ko_tko_dq,False,00-05%,445.0,0.035889354268278405,0.06741573033707865,0.031526376068800245,0.06359437338911028,0.2547209200121329,0.8225842696629213
win_by_ko_tko_dq,False,05-10%,1817.0,0.07652672235359916,0.08200330214639516,0.005476579792796005,0.07498582314651767,0.2816354349298918,0.06116675839295542
win_by_ko_tko_dq,False,10-15%,2280.0,0.12337657251764324,0.09605263157894736,-0.027323940938695876,0.08729289782170503,0.31854183212756126,-0.2262719298245614
win_by_ko_tko_dq,False,15-20%,1708.0,0.17192232309078856,0.12939110070257612,-0.04253122238821244,0.11397055377921013,0.3902537855571212,-0.2538524590163934
win_by_ko_tko_dq,False,20-25%,1354.0,0.21810875551473874,0.15805022156573117,-0.060058533949007564,0.13645568141595926,0.4471061176998433,-0.27636632200886263
win_by_ko_tko_dq,False,25-30%,1016.0,0.2717311329189623,0.22539370078740156,-0.04633743213156072,0.1769716822627029,0.5398222355600898,-0.16766732283464567
win_by_ko_tko_dq,False,30-35%,526.0,0.3221060554681041,0.24524714828897337,-0.07685890717913074,0.19059129597698632,0.5702618055926506,-0.24009505703422054
win_by_ko_tko_dq,False,35-40%,513.0,0.36890987554706617,0.2982456140350877,-0.07066426151197847,0.21413317495678433,0.6200785014231329,-0.1917738791423002
win_by_ko_tko_dq,False,40-45%,373.0,0.41921056801138046,0.2868632707774799,-0.13234729723390054,0.22133255708859428,0.6352920895260731,-0.31753351206434316
win_by_ko_tko_dq,False,45-50%,245.0,0.4678719212024633,0.3551020408163265,-0.11276988038613678,0.24171112578962908,0.6765388589574622,-0.24089795918367346
win_by_ko_tko_dq,False,50-55%,213.0,0.5217972898276878,0.43661971830985913,-0.08517757151782868,0.2530640745826651,0.6992887921927775,-0.16325484785376573
win_by_ko_tko_dq,False,55-60%,132.0,0.5721372734488878,0.4772727272727273,-0.09486454617616047,0.2593823092639321,0.7121274835164307,-0.1642704738091519
win_by_ko_tko_dq,False,60-65%,127.0,0.6222474712036208,0.4409448818897638,-0.181302589313857,0.2805329684645187,0.7559601846327266,-0.28967441867478966
win_by_ko_tko_dq,False,65-70%,54.0,0.672337475430968,0.5185185185185185,-0.1538189569124495,0.276688808299134,0.7508487342807599,-0.22494745886558754
win_by_ko_tko_dq,False,70-75%,22.0,0.72139706516276,0.5909090909090909,-0.1304879742536691,0.2581444838775922,0.7143193468995037,-0.18139563312906914
win_by_ko_tko_dq,False,75-80%,9.0,0.7664029102513724,0.6666666666666666,-0.09973624358470579,0.22930208672349636,0.6542973398684825,-0.13238747120326064
win_by_ko_tko_dq,False,80-85%,4.0,0.8160839160839161,0.5,-0.31608391608391606,0.34327253166414007,0.9260959101624754,-0.39204545454545453
win_by_submission,False,00-05%,1357.0,0.03776190165519193,0.02210759027266028,-0.01565431138253165,0.02200720536126103,0.11172902660854457,-0.3452837140751658
win_by_submission,False,05-10%,3950.0,0.07250905900205916,0.034936708860759495,-0.037572350141299664,0.0350593376911367,0.16313806276412093,-0.5265873417721518
win_by_submission,False,10-15%,2401.0,0.12132651270801982,0.07496876301541025,-0.04635774969260957,0.07135493728529242,0.2767821498128499,-0.3847313619325281
win_by_submission,False,15-20%,1291.0,0.17058174347546534,0.11773818745158791,-0.05284355602387743,0.10681122826710997,0.37358340306578264,-0.30637490317583266
win_by_submission,False,20-25%,723.0,0.21774257083446047,0.14661134163208853,-0.07113122920237194,0.13006965124707165,0.4326077176476508,-0.3272337482710927
win_by_submission,False,25-30%,449.0,0.26941317907412327,0.24053452115812918,-0.028878657915994088,0.18185160486606883,0.5495963148945229,-0.11726057906458796
win_by_submission,False,30-35%,217.0,0.322240997162772,0.2488479262672811,-0.07339307089549088,0.19120913305721918,0.5714092649460092,-0.23267281105990784
win_by_submission,False,35-40%,203.0,0.3691314082988455,0.3448275862068966,-0.024303822091948923,0.22712686539880766,0.6467756243024353,-0.0631527093596059
win_by_submission,False,40-45%,90.0,0.41732837256290045,0.3111111111111111,-0.10621726145178934,0.22677631276857516,0.6463404786980358,-0.25077777777777777
win_by_submission,False,45-50%,55.0,0.4683509167995686,0.36363636363636365,-0.10471455316320494,0.24118563911930274,0.6754779296125863,-0.22618181818181818
win_by_submission,False,50-55%,48.0,0.5159495499688393,0.4791666666666667,-0.036782883302172664,0.25006497705105324,0.6932882211568066,-0.07275006867398169
win_by_submission,False,55-60%,25.0,0.5689410577675411,0.52,-0.048941057767541096,0.25632423346534894,0.7060544140226154,-0.07921721190686708
win_by_submission,False,60-65%,18.0,0.6275250611683165,0.6111111111111112,-0.016413950057205362,0.24488169727488776,0.683650849857273,-0.016919883855367693
win_by_submission,False,65-70%,3.0,0.6767676767676768,0.3333333333333333,-0.3434343434343435,0.3269054178145087,0.8527459742911833,-0.5217391304347826
win_by_submission,False,70-75%,4.0,0.7282249742002064,0.5,-0.22822497420020638,0.2953923432389631,0.7935782690523694,-0.31980519480519476
win_by_submission,False,75-80%,2.0,0.7686170212765957,0.5,-0.2686170212765957,0.3038846763241286,0.8127620250928623,-0.36486486486486486
win_by_submission,False,90-95%,1.0,0.9259259259259259,0.0,-0.9259259259259259,0.8573388203017833,2.6026896854443837,-1.0
